CustomerID,Region,VisitTime,PizzaType,Review,VisitFrequency,AvgSpend
1,Salem West,Late Night,Meat Lovers,3,1.8,466.74
2,Fairlands,Lunch,Buffalo Chicken,5,4,442.55
3,Central Salem,Lunch,Pepperoni,2.8,3.5,398.99
4,Omalur,Lunch,Pepperoni,3.4,4.4,336.45
5,Salem West,Dinner,Hawaiian,4.3,2.9,120
6,Omalur,Dinner,BBQ Chicken,0.2,3.7,356.54
7,Salem West,Late Night,BBQ Chicken,3.5,4.1,586.7
8,Central Salem,Late Night,Meat Lovers,4.9,4.5,460.28
9,Omalur,Lunch,Margherita,3.6,1.4,366.42
10,Salem West,Dinner,Veggie Supreme,3.3,2,356.9
11,Mettur,Late Night,Meat Lovers,4.5,4.4,503.66
12,Omalur,Dinner,Margherita,4.6,4,378.53
13,Salem West,Lunch,Pepperoni,4.2,1.3,400.09
14,Mettur,Lunch,Hawaiian,4,2.8,253
15,Fairlands,Dinner,Veggie Supreme,4.3,4,294.87
16,Mettur,Late Night,Pepperoni,4.4,4.2,318.9
17,Salem West,Lunch,Pepperoni,3.9,3.2,365.43
18,Omalur,Late Night,Hawaiian,4.4,2.8,340.34
19,Salem West,Dinner,White Pizza,0,1.3,376.27
20,Salem West,Late Night,BBQ Chicken,3.4,3.6,562
21,Salem West,Late Night,Buffalo Chicken,3.6,0.5,345.65
22,Omalur,Dinner,Veggie Supreme,2.2,2.9,398.09
23,Omalur,Dinner,Buffalo Chicken,4.6,2.5,363.48
24,Fairlands,Lunch,Veggie Supreme,4.9,5,511.43
25,Omalur,Late Night,BBQ Chicken,5,4.7,420.55
26,Central Salem,Dinner,Pepperoni,3.4,0.8,443
27,Central Salem,Lunch,Pepperoni,1,1.7,412.63
28,Mettur,Dinner,Pepperoni,4.1,2.8,396.91
29,Salem West,Dinner,Meat Lovers,3.9,3.2,253.65
30,Omalur,Lunch,Veggie Supreme,4.7,5.5,408.43
31,Fairlands,Lunch,Hawaiian,4.1,2.8,406.2
32,Central Salem,Late Night,Meat Lovers,4.1,1.5,404.78
33,Salem West,Lunch,Buffalo Chicken,4.1,1.9,482.56
34,Mettur,Dinner,Veggie Supreme,4.1,3.1,328.57
35,Salem West,Lunch,Veggie Supreme,3.5,2.5,352.85
36,Salem West,Late Night,BBQ Chicken,4,2.3,345.26
37,Central Salem,Late Night,Meat Lovers,3.5,0.6,513.45
38,Fairlands,Dinner,Meat Lovers,4.5,2.8,600
39,Central Salem,Dinner,White Pizza,1,5,486.24
